#Organism Name,Organism Groups,Strain,BioSample,BioProject,Assembly,Level,Size(Mb),GC%,Replicons,WGS,Scaffolds,CDS,Release Date,GenBank FTP,RefSeq FTP
Saccharomyces cerevisiae,Eukaryota;Fungi;Ascomycetes,YPS606,SAMN12175475,PRJNA552112,GCA_022695695.1, Chromosome,11.9235,38.3531,chromosome 1:CP093637.1; chromosome 2:CP093638.1; chromosome 3:CP093639.1; chromosome 4:CP093640.1; chromosome 5:CP093642.1; chromosome 6:CP093643.1; chromosome 7:CP093644.1; chromosome 8:CP093645.1; chromosome 9:CP093641.1; chromosome 10:CP093646.1; chromosome 11:CP093647.1; chromosome 12:CP093648.1; chromosome 13:CP093649.1; chromosome 14:CP093650.1; chromosome 15:CP093651.1; chromosome 16:CP093652.1,,16,0,2022-03-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/695/695/GCA_022695695.1_ASM2269569v1,
Zea mays,Eukaryota;Plants;Land Plants,,SAMN15543012,PRJNA646414,GCA_016432965.1, Chromosome,2285.79,47.0486,chromosome 1:CM028298.1; chromosome 2:CM028299.1; chromosome 3:CM028300.1; chromosome 4:CM028301.1; chromosome 5:CM028302.1; chromosome 6:CM028303.1; chromosome 7:CM028304.1; chromosome 8:CM028305.1; chromosome 9:CM028306.1; chromosome 10:CM028307.1,JACHTI01,8450,0,2020-12-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/016/432/965/GCA_016432965.1_Zm-Ia453-REFERENCE-UF-1.0,
Arabidopsis thaliana,Eukaryota;Plants;Land Plants,,SAMEA6623702,PRJEB37257,GCA_903064285.1, Chromosome,118.889,36.1291,chromosome 1:LR797802.1; chromosome 2:LR797803.1; chromosome 3:LR797804.1; chromosome 4:LR797805.1; chromosome 5:LR797806.1,,5,0,2020-05-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/903/064/285/GCA_903064285.1_AT1741.KBS-Mac-74.PacBio,
Arabidopsis thaliana,Eukaryota;Plants;Land Plants,,SAMEA6623703,PRJEB37258,GCA_903064295.1, Chromosome,119.797,36.157,chromosome 1:LR797797.1; chromosome 2:LR797798.1; chromosome 3:LR797799.1; chromosome 4:LR797800.1; chromosome 5:LR797801.1,,5,0,2020-05-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/903/064/295/GCA_903064295.1_AT5784.Ty-1.PacBio,
Saccharomyces cerevisiae,Eukaryota;Fungi;Ascomycetes,L_1528,SAMN12175476,PRJNA552112,GCA_022695715.1, Chromosome,11.7903,38.3212,chromosome 1:CP093621.1; chromosome 2:CP093622.1; chromosome 3:CP093623.1; chromosome 4:CP093624.1; chromosome 5:CP093626.1; chromosome 6:CP093627.1; chromosome 7:CP093628.1; chromosome 8:CP093629.1; chromosome 9:CP093625.1; chromosome 10:CP093630.1; chromosome 11:CP093631.1; chromosome 12:CP093632.1; chromosome 13:CP093633.1; chromosome 14:CP093634.1; chromosome 15:CP093635.1; chromosome 16:CP093636.1,,16,0,2022-03-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/695/715/GCA_022695715.1_ASM2269571v1,
Drosophila melanogaster,Eukaryota;Animals;Insects,A7,SAMN08026573,PRJNA418342,GCA_003401915.1, Chromosome,146.861,41.9974,chromosome X:CM010576.1; chromosome 2L:CM010577.1; chromosome 2R:CM010578.1; chromosome 3L:CM010579.1; chromosome 3R:CM010580.1; chromosome 4:CM010581.1; mitochondrion MT:CM010582.1,PGRP01,263,0,2018-08-16T00:00:00Z,,
Drosophila melanogaster,Eukaryota;Animals;Insects,AB8,SAMN08026574,PRJNA418342,GCA_003401685.1, Chromosome,137.707,42.0585,chromosome X:CM010499.1; chromosome 2L:CM010500.1; chromosome 2R:CM010501.1; chromosome 3L:CM010502.1; chromosome 3R:CM010503.1; chromosome 4:CM010504.1; mitochondrion MT:CM010505.1,PGRQ01,54,0,2018-08-16T00:00:00Z,,
Saccharomyces cerevisiae,Eukaryota;Fungi;Ascomycetes,YIIc17_E5,SAMN12175467,PRJNA552112,GCA_025727245.1, Chromosome,11.9512,38.3157,chromosome I:CP093749.1; chromosome II:CP093750.1; chromosome III:CP093751.1; chromosome IV:CP093752.1; chromosome V:CP093754.1; chromosome VI:CP093755.1; chromosome VII:CP093756.1; chromosome VIII:CP093757.1; chromosome IX:CP093753.1; chromosome X:CP093758.1; chromosome XI:CP093759.1; chromosome XII:CP093760.1; chromosome XIII:CP093761.1; chromosome XIV:CP093762.1; chromosome XV:CP093763.1; chromosome XVI:CP093764.1,,16,0,2022-03-24T00:00:00Z,,
Arabidopsis thaliana,Eukaryota;Plants;Land Plants,,SAMEA110648794,PRJEB55353,GCA_946415655.1, Chromosome,134.758,36.3366,chromosome 1:OX291810.1; chromosome 2:OX291811.1; chromosome 3:OX291812.1; chromosome 4:OX291813.1; chromosome 5:OX291814.1,,5,0,2023-02-09T00:00:00Z,,
Arabidopsis thaliana,Eukaryota;Plants;Land Plants,,SAMEA7282576,PRJEB40125,GCA_904420315.1, Chromosome,130.173,36.7061,chromosome 1:LR881466.1; chromosome 2:LR881467.1; chromosome 3:LR881468.1; chromosome 4:LR881469.1; chromosome 5:LR881470.1; mitochondrion MT:LR881472.1; chloroplast Pltd:LR881471.1,,7,23632,2020-09-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/904/420/315/GCA_904420315.1_AT9943.Cdm-0.scaffold,
Saccharomyces cerevisiae,Eukaryota;Fungi;Ascomycetes,273614N,SAMN12175474,PRJNA552112,GCA_022695675.1, Chromosome,12.0481,38.3367,chromosome 1:CP093653.1; chromosome 2:CP093654.1; chromosome 3:CP093655.1; chromosome 4:CP093656.1; chromosome 5:CP093658.1; chromosome 6:CP093659.1; chromosome 7:CP093660.1; chromosome 8:CP093661.1; chromosome 9:CP093657.1; chromosome 10:CP093662.1; chromosome 11:CP093663.1; chromosome 12:CP093664.1; chromosome 13:CP093665.1; chromosome 14:CP093666.1; chromosome 15:CP093667.1; chromosome 16:CP093668.1,,16,0,2022-03-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/022/695/675/GCA_022695675.1_ASM2269567v1,
Drosophila melanogaster,Eukaryota;Animals;Insects,ORE,SAMN08026581,PRJNA418342,GCA_003402015.1, Chromosome,136.258,42.1494,chromosome X:CM010513.1; chromosome 2L:CM010514.1; chromosome 2R:CM010515.1; chromosome 3L:CM010516.1; chromosome 3R:CM010517.1; chromosome 4:CM010518.1; mitochondrion MT:CM010519.1,PGRW01,75,0,2018-08-16T00:00:00Z,,
Ovis aries,Eukaryota;Animals;Mammals,OAR_USU_Benz2616,SAMEA104496890,PRJNA517172,GCA_002742125.1, Chromosome,2869.91,41.9088,chromosome 1:CM008472.1; chromosome 2:CM008473.1; chromosome 3:CM008474.1; chromosome 4:CM008475.1; chromosome 5:CM008476.1; chromosome 6:CM008477.1; chromosome 7:CM008478.1; chromosome 8:CM008479.1; chromosome 9:CM008480.1; chromosome 10:CM008481.1; chromosome 11:CM008482.1; chromosome 12:CM008483.1; chromosome 13:CM008484.1; chromosome 14:CM008485.1; chromosome 15:CM008486.1; chromosome 16:CM008487.1; chromosome 17:CM008488.1; chromosome 18:CM008489.1; chromosome 19:CM008490.1; chromosome 20:CM008491.1; chromosome 21:CM008492.1; chromosome 22:CM008493.1; chromosome 23:CM008494.1; chromosome 24:CM008495.1; chromosome 25:CM008496.1; chromosome 26:CM008497.1; chromosome X:CM008498.1,PEKD01,2641,0,2017-10-31T00:00:00Z,,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/742/125/GCF_002742125.1_Oar_rambouillet_v1.0
Drosophila melanogaster,Eukaryota;Animals;Insects,A2,SAMN08026568,PRJNA418342,GCA_003401805.1, Chromosome,142.347,42.0699,chromosome X:CM010555.1; chromosome 2L:CM010556.1; chromosome 2R:CM010557.1; chromosome 3L:CM010558.1; chromosome 3R:CM010559.1; chromosome 4:CM010560.1; mitochondrion MT:CM010561.1,PGRK01,173,0,2018-08-16T00:00:00Z,,
Saccharomyces cerevisiae,Eukaryota;Fungi;Ascomycetes,YJM978,SAMN12175472,PRJNA552112,GCA_025727165.1, Chromosome,11.9655,38.4235,chromosome I:CP093685.1; chromosome II:CP093686.1; chromosome III:CP093687.1; chromosome IV:CP093688.1; chromosome V:CP093690.1; chromosome VI:CP093691.1; chromosome VII:CP093692.1; chromosome VIII:CP093693.1; chromosome IX:CP093689.1; chromosome X:CP093694.1; chromosome XI:CP093695.1; chromosome XII:CP093696.1; chromosome XIII:CP093697.1; chromosome XIV:CP093698.1; chromosome XV:CP093699.1; chromosome XVI:CP093700.1,,16,0,2022-03-24T00:00:00Z,,
Arabidopsis thaliana,Eukaryota;Plants;Land Plants,,SAMEA110648817,PRJEB55353,GCA_946405725.1, Chromosome,140.01,36.4102,chromosome 1:OX291518.1; chromosome 2:OX291519.1; chromosome 3:OX291520.1; chromosome 4:OX291521.1; chromosome 5:OX291522.1,,5,0,2023-02-09T00:00:00Z,,
Arabidopsis thaliana,Eukaryota;Plants;Land Plants,,SAMEA110648780,PRJEB55353,GCA_946404995.1, Chromosome,134.087,36.2945,chromosome 1:OX291481.1; chromosome 2:OX291482.1; chromosome 3:OX291483.1; chromosome 4:OX291484.1; chromosome 5:OX291485.1,,5,0,2023-02-09T00:00:00Z,,
Saccharomyces cerevisiae,Eukaryota;Fungi;Ascomycetes,SK23,SAMN13341795,PRJNA590882,GCA_009738405.1, Chromosome,12.0598,38.2747,chromosome I:CP046474.1; chromosome II:CP046473.1; chromosome III:CP046472.1; chromosome IV:CP046471.1; chromosome V:CP046470.1; chromosome VI:CP046469.1; chromosome VII:CP046468.1; chromosome VIII:CP046467.1; chromosome IX:CP046466.1; chromosome X:CP046465.1; chromosome XI:CP046464.1; chromosome XII:CP046463.1; chromosome XIII:CP046462.1; chromosome XIV:CP046461.1; chromosome XV:CP046460.1; chromosome XVI:CP046459.1; mitochondrion MT:CP046458.1,,17,0,2019-12-10T00:00:00Z,,
Drosophila melanogaster,Eukaryota;Animals;Insects,A5,SAMN08026571,PRJNA418342,GCA_003401855.1, Chromosome,138.932,42.053,chromosome X:CM010562.1; chromosome 2L:CM010563.1; chromosome 2R:CM010564.1; chromosome 3L:CM010565.1; chromosome 3R:CM010566.1; chromosome 4:CM010567.1; mitochondrion MT:CM010568.1,PGRN01,99,0,2018-08-16T00:00:00Z,,
Ovis aries,Eukaryota;Animals;Mammals,,SAMN00116405,PRJNA179263,GCA_000298735.2, Chromosome,2615.52,41.9603,chromosome 1:CM001582.2; chromosome 2:CM001583.2; chromosome 3:CM001584.2; chromosome 4:CM001585.2; chromosome 5:CM001586.2; chromosome 6:CM001587.2; chromosome 7:CM001588.2; chromosome 8:CM001589.2; chromosome 9:CM001590.2; chromosome 10:CM001591.2; chromosome 11:CM001592.2; chromosome 12:CM001593.2; chromosome 13:CM001594.2; chromosome 14:CM001595.2; chromosome 15:CM001596.2; chromosome 16:CM001597.2; chromosome 17:CM001598.2; chromosome 18:CM001599.2; chromosome 19:CM001600.2; chromosome 20:CM001601.2; chromosome 21:CM001602.2; chromosome 22:CM001603.2; chromosome 23:CM001604.2; chromosome 24:CM001605.2; chromosome 25:CM001606.2; chromosome 26:CM001607.2; chromosome X:CM001608.2,AMGL02,5466,0,2012-09-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/298/735/GCA_000298735.2_Oar_v4.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/298/735/GCF_000298735.2_Oar_v4.0
Ovis aries,Eukaryota;Animals;Mammals,,SAMN03004385,PRJNA33937,GCA_000005525.1, Chromosome,2860.5,46.3194,chromosome 1:CM000885.1; chromosome 2:CM000886.1; chromosome 3:CM000887.1; chromosome 4:CM000888.1; chromosome 5:CM000889.1; chromosome 6:CM000890.1; chromosome 7:CM000891.1; chromosome 8:CM000892.1; chromosome 9:CM000893.1; chromosome 10:CM000894.1; chromosome 11:CM000895.1; chromosome 12:CM000896.1; chromosome 13:CM000897.1; chromosome 14:CM000898.1; chromosome 15:CM000899.1; chromosome 16:CM000900.1; chromosome 17:CM000901.1; chromosome 18:CM000902.1; chromosome 19:CM000903.1; chromosome 20:CM000904.1; chromosome 21:CM000905.1; chromosome 22:CM000906.1; chromosome 23:CM000907.1; chromosome 24:CM000908.1; chromosome 25:CM000909.1; chromosome 26:CM000910.1; chromosome X:CM000911.1,ACIV01,1331,0,2010-02-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/005/525/GCA_000005525.1_Ovis_aries_1.0,
Drosophila melanogaster,Eukaryota;Animals;Insects,B4,SAMN08026578,PRJNA418342,GCA_003402005.1, Chromosome,136.261,42.1665,chromosome X:CM010520.1; chromosome 2L:CM010521.1; chromosome 2R:CM010522.1; chromosome 3L:CM010523.1; chromosome 3R:CM010524.1; chromosome 4:CM010525.1; mitochondrion MT:CM010526.1,PGRU01,65,0,2018-08-16T00:00:00Z,,
Arabidopsis thaliana,Eukaryota;Plants;Land Plants,,SAMEA110648816,PRJEB55353,GCA_946412225.1, Chromosome,137.509,36.3253,chromosome 1:OX291741.1; chromosome 2:OX291742.1; chromosome 3:OX291743.1; chromosome 4:OX291744.1; chromosome 5:OX291745.1,,5,0,2023-02-09T00:00:00Z,,
Saccharomyces cerevisiae,Eukaryota;Fungi;Ascomycetes,Y169,SAMN10330871,PRJNA498704,GCA_003719635.1, Chromosome,11.9609,38.2413,chromosome 1:CP033470.1; chromosome 2:CP033471.1; chromosome 3:CP033472.1; chromosome 4:CP033473.1; chromosome 5:CP033475.1; chromosome 6:CP033476.1; chromosome 7:CP033477.1; chromosome 8:CP033478.1; chromosome 9:CP033474.1; chromosome 10:CP033479.1; chromosome 11:CP033480.1; chromosome 12:CP033481.1; chromosome 13:CP033482.1; chromosome 14:CP033483.1; chromosome 15:CP033484.1; chromosome 16:CP033485.1; mitochondrion MT:CP033486.1,,17,0,2018-11-10T00:00:00Z,,
Saccharomyces cerevisiae,Eukaryota;Fungi;Ascomycetes,X55,SAMN10330870,PRJNA498704,GCA_003719665.1, Chromosome,11.8207,38.2536,chromosome 1:CP033487.1; chromosome 2:CP033488.1; chromosome 3:CP033489.1; chromosome 4:CP033490.1; chromosome 5:CP033492.1; chromosome 6:CP033493.1; chromosome 7:CP033494.1; chromosome 8:CP033495.1; chromosome 9:CP033491.1; chromosome 10:CP033496.1; chromosome 11:CP033497.1; chromosome 12:CP033498.1; chromosome 13:CP033499.1; chromosome 14:CP033500.1; chromosome 15:CP033501.1; chromosome 16:CP033502.1; mitochondrion MT:CP033503.1,,17,0,2018-11-10T00:00:00Z,,
Arabidopsis thaliana,Eukaryota;Plants;Land Plants,,SAMN23014731,PRJNA779205,GCA_024498475.1, Chromosome,123.948,36.1972,chromosome 1:CP086739.1; chromosome 2:CP086740.1; chromosome 3:CP086741.1; chromosome 4:CP086742.1; chromosome 5:CP086743.1,,5,0,2022-08-01T00:00:00Z,,
Drosophila melanogaster,Eukaryota;Animals;Insects,B2,SAMN08026576,PRJNA418342,GCA_003401975.1, Chromosome,137.486,42.1029,chromosome X:CM010527.1; chromosome 2L:CM010528.1; chromosome 2R:CM010529.1; chromosome 3L:CM010530.1; chromosome 3R:CM010531.1; chromosome 4:CM010532.1; mitochondrion MT:CM010533.1,PGRS01,58,0,2018-08-16T00:00:00Z,,
Drosophila melanogaster,Eukaryota;Animals;Insects,B6,SAMN08026580,PRJNA418342,GCA_003397115.2, Chromosome,137.46,42.1131,chromosome X:CM010590.1; chromosome 2L:CM010591.1; chromosome 2R:CM010592.1; chromosome 3L:CM010593.1; chromosome 3R:CM010594.1; chromosome 4:CM010595.1; mitochondrion MT:CM010596.1,PGRV01,61,0,2018-08-16T00:00:00Z,,
Arabidopsis thaliana,Eukaryota;Plants;Land Plants,,SAMEA13018400,PRJEB50694,GCA_946499705.1, Chromosome,134.557,36.452,chromosome 1:OX298802.1; chromosome 2:OX298803.1; chromosome 3:OX298804.1; chromosome 4:OX298805.1; chromosome 5:OX298806.1,,5,0,2022-08-25T00:00:00Z,,
Saccharomyces cerevisiae,Eukaryota;Fungi;Ascomycetes,T.52_3A,SAMN02770300,PRJNA247448,GCA_001669935.1, Chromosome,12.1226,38.5475,chromosome I:CP007828.1; chromosome II:CP007829.1; chromosome III:CP007830.1; chromosome IV:CP007831.1; chromosome V:CP007832.1; chromosome VI:CP007833.1; chromosome VII:CP007834.1; chromosome VIII:CP007835.1; chromosome IX:CP007836.1; chromosome X:CP007837.1; chromosome XI:CP007838.1; chromosome XII:CP007839.1; chromosome XIII:CP007840.1; chromosome XIV:CP007841.1; chromosome XV:CP007842.1; chromosome XVI:CP007843.1; mitochondrion MT:CP007844.1,,17,0,2016-06-20T00:00:00Z,,
Saccharomyces cerevisiae,Eukaryota;Fungi;Ascomycetes,HB_S_GIMBLETTROAD_5,SAMN02776123,PRJNA247448,GCA_001671435.1, Chromosome,12.1329,38.5366,chromosome I:CP008185.1; chromosome II:CP008186.1; chromosome III:CP008187.1; chromosome IV:CP008188.1; chromosome V:CP008189.1; chromosome VI:CP008190.1; chromosome VII:CP008191.1; chromosome VIII:CP008192.1; chromosome IX:CP008193.1; chromosome X:CP008194.1; chromosome XI:CP008195.1; chromosome XII:CP008196.1; chromosome XIII:CP008197.1; chromosome XIV:CP008198.1; chromosome XV:CP008199.1; chromosome XVI:CP008200.1; mitochondrion MT:CP008201.1,,17,0,2016-06-20T00:00:00Z,,
Arabidopsis thaliana,Eukaryota;Plants;Land Plants,,SAMEA110648796,PRJEB55353,GCA_946405905.1, Chromosome,138.39,36.4677,chromosome 1:OX291523.1; chromosome 2:OX291524.1; chromosome 3:OX291525.1; chromosome 4:OX291526.1; chromosome 5:OX291527.1,,5,0,2023-02-09T00:00:00Z,,
Drosophila melanogaster,Eukaryota;Animals;Insects,ORw1118,SAMN29485283,PRJNA855235,GCA_024500395.1, Chromosome,177.196,41.6772,chromosome X:CM044676.1; chromosome 2L:CM044677.1; chromosome 2R:CM044678.1; chromosome 3L:CM044679.1; chromosome 3R:CM044680.1; chromosome 4:CM044681.1; chromosome Y:CM044682.1,JANDLS01,246,0,2022-08-01T00:00:00Z,,
Drosophila melanogaster,Eukaryota;Animals;Insects,DGRP-379,SAMN10769605,PRJNA515844,GCA_004798055.1, Chromosome,133.404,42.117,chromosome X:CM016471.1; chromosome 2L:CM016472.1; chromosome 2R:CM016473.1; chromosome 3L:CM016474.1; chromosome 3R:CM016475.1; chromosome 4:CM016476.1,SIXD01,89,0,2019-04-16T00:00:00Z,,
Zea mays,Eukaryota;Plants;Land Plants,,SAMN10081786,PRJNA360923,GCA_003704525.1, Chromosome,2198.5,46.8141,chromosome 1:CM010947.1; chromosome 2:CM010948.1; chromosome 3:CM010949.1; chromosome 4:CM010950.1; chromosome 5:CM010951.1; chromosome 6:CM010952.1; chromosome 7:CM010953.1; chromosome 8:CM010954.1; chromosome 9:CM010955.1; chromosome 10:CM010956.1,RAQR01,797,0,2018-10-31T00:00:00Z,,
Arabidopsis thaliana,Eukaryota;Plants;Land Plants,,SAMEA110648813,PRJEB55353,GCA_946411425.1, Chromosome,141.195,36.4653,chromosome 1:OX291700.1; chromosome 2:OX291701.1; chromosome 3:OX291702.1; chromosome 4:OX291703.1; chromosome 5:OX291704.1,,5,0,2023-02-09T00:00:00Z,,
Saccharomyces cerevisiae,Eukaryota;Fungi;Ascomycetes,T52,SAMN02770294,PRJNA247448,GCA_001671055.1, Chromosome,12.1209,38.5881,chromosome I:CP008491.1; chromosome II:CP008492.1; chromosome III:CP008493.1; chromosome IV:CP008494.1; chromosome V:CP008495.1; chromosome VI:CP008496.1; chromosome VII:CP008497.1; chromosome VIII:CP008498.1; chromosome IX:CP008499.1; chromosome X:CP008500.1; chromosome XI:CP008501.1; chromosome XII:CP008502.1; chromosome XIII:CP008503.1; chromosome XIV:CP008504.1; chromosome XV:CP008505.1; chromosome XVI:CP008506.1; mitochondrion MT:CP008507.1,,17,0,2016-06-20T00:00:00Z,,
Saccharomyces cerevisiae,Eukaryota;Fungi;Ascomycetes,WA_C_WAITAKEREROAD_7,SAMN02772779,PRJNA247448,GCA_001671195.1, Chromosome,12.1212,38.5909,chromosome I:CP008559.1; chromosome II:CP008560.1; chromosome III:CP008561.1; chromosome IV:CP008562.1; chromosome V:CP008563.1; chromosome VI:CP008564.1; chromosome VII:CP008565.1; chromosome VIII:CP008566.1; chromosome IX:CP008567.1; chromosome X:CP008568.1; chromosome XI:CP008569.1; chromosome XII:CP008570.1; chromosome XIII:CP008571.1; chromosome XIV:CP008572.1; chromosome XV:CP008573.1; chromosome XVI:CP008574.1; mitochondrion MT:CP008575.1,,17,0,2016-06-20T00:00:00Z,,
Arabidopsis thaliana,Eukaryota;Plants;Land Plants,,SAMN23014733,PRJNA779205,GCA_024498435.1, Chromosome,127.151,36.3269,chromosome 1:CP086729.1; chromosome 2:CP086730.1; chromosome 3:CP086731.1; chromosome 4:CP086732.1; chromosome 5:CP086733.1,,5,0,2022-08-01T00:00:00Z,,
Zea mays,Eukaryota;Plants;Land Plants,,SAMN10081784,PRJNA360923,GCA_003709335.1, Chromosome,2288.19,46.7282,chromosome 1:CM010957.1; chromosome 2:CM010958.1; chromosome 3:CM010959.1; chromosome 4:CM010960.1; chromosome 5:CM010961.1; chromosome 6:CM010962.1; chromosome 7:CM010963.1; chromosome 8:CM010964.1; chromosome 9:CM010965.1; chromosome 10:CM010966.1,RAQT01,972,0,2018-10-31T00:00:00Z,,
Drosophila melanogaster,Eukaryota;Animals;Insects,DGRP-732,SAMN10769622,PRJNA515844,GCA_004798075.2, Chromosome,141.551,41.9699,chromosome X:CM016477.2; chromosome 2L:CM016478.2; chromosome 2R:CM016479.2; chromosome 3L:CM016480.2; chromosome 3R:CM016481.2; chromosome 4:CM016482.2,SISJ02,250,0,2019-04-16T00:00:00Z,,
Drosophila melanogaster,Eukaryota;Animals;Insects,RAL375,SAMN12560261,PRJNA559813,GCA_020141675.1, Chromosome,141.211,42.0283,chromosome X:CM034774.1; chromosome 2L:CM034775.1; chromosome 2R:CM034776.1; chromosome 3L:CM034777.1; chromosome 3R:CM034778.1; chromosome 4:CM034779.1; chromosome Y:CM034780.1,JAEMMW01,40,0,2021-09-24T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/141/675/GCA_020141675.1_ASM2014167v1,
